,Unnamed: 0,Name,Age,Market Value,Country,Club,Matches,Goals,Assists,Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out,Win / Loose
0,0,121,5,33,17,48,17,8,3,3,0,0,9,0
1,1,121,4,32,35,14,10,14,7,1,0,0,1,1
2,2,159,12,31,16,64,17,8,5,2,0,2,2,1
3,3,306,13,30,15,39,16,16,9,1,0,0,3,1
4,4,383,12,30,4,20,11,5,1,0,0,1,2,1
5,5,229,14,30,4,40,15,4,1,1,0,5,7,0
6,6,317,13,30,5,48,11,4,6,3,0,0,3,0
7,7,177,4,29,16,41,14,0,0,0,0,8,6,0
8,8,137,7,29,33,29,14,0,5,2,0,0,2,0
9,9,53,11,29,37,41,19,6,5,3,0,4,6,1
10,10,206,10,29,19,12,19,4,7,1,0,0,3,1
11,11,359,10,29,16,40,16,2,5,0,0,10,2,0
12,12,274,9,28,16,41,6,4,0,0,0,4,3,0
13,13,389,13,28,40,39,16,9,0,1,0,2,3,1
14,14,163,13,28,28,64,16,6,5,1,0,5,5,0
15,15,346,1,27,44,29,5,0,0,0,0,1,2,1
16,16,350,4,27,16,40,14,6,7,0,0,5,3,1
17,17,238,9,27,2,33,16,6,1,3,0,2,13,1
18,18,273,10,27,44,10,11,0,0,1,1,1,2,0
19,19,246,18,27,2,48,8,4,0,1,0,1,2,1
20,20,283,5,26,16,20,14,4,5,0,0,7,3,0
21,21,428,6,26,16,39,12,1,10,1,0,0,3,0
22,22,387,7,26,37,40,17,0,5,3,0,2,0,0
23,23,214,11,26,5,48,14,1,1,2,0,0,0,0
24,24,214,1,25,16,14,19,4,10,4,0,0,7,0
25,25,211,5,25,37,10,11,1,5,3,0,6,5,0
26,26,20,4,25,8,12,16,0,8,1,0,0,7,0
27,27,4,6,25,32,48,18,4,5,2,2,2,1,0
28,28,88,5,25,16,72,16,4,6,4,0,0,2,0
29,29,378,8,25,44,40,15,1,0,2,0,1,2,0
30,30,303,7,25,44,52,11,7,1,1,0,1,7,0
31,31,126,7,25,25,34,14,4,5,0,0,4,7,1
32,32,289,5,25,33,34,12,1,0,1,0,1,1,0
33,33,222,5,25,19,20,17,5,5,0,0,6,6,1
34,34,398,10,25,41,55,18,5,7,3,0,6,8,0
35,35,48,11,25,37,40,17,4,1,3,0,2,7,0
36,36,362,12,25,17,41,9,0,1,1,0,1,1,0
37,37,397,10,25,19,12,19,9,7,0,0,7,11,0
38,38,242,10,25,19,12,15,2,5,0,0,0,8,1
39,39,184,12,25,43,10,17,0,0,0,0,0,0,1
40,40,62,13,25,5,51,16,0,0,4,0,1,2,0
41,41,133,1,24,19,11,15,8,10,2,0,5,9,1
42,42,57,3,24,16,6,14,2,5,1,0,2,8,1
43,43,127,6,24,51,51,12,0,1,0,0,2,5,0
44,44,149,5,24,25,48,7,0,0,2,0,0,0,1
45,45,321,7,24,25,33,17,1,9,3,0,0,9,1
46,46,26,11,24,39,39,12,0,5,2,0,1,2,1
47,47,31,2,23,44,29,8,5,1,0,0,5,5,1
48,48,215,6,23,17,57,14,0,0,0,0,0,0,1
49,49,433,5,23,34,56,14,10,5,2,2,2,7,1
50,50,141,7,23,5,40,15,5,8,0,0,6,5,0
51,51,86,6,23,17,12,17,0,7,5,0,1,2,1
52,52,9,5,23,25,33,16,0,1,2,0,1,7,0
53,53,439,7,23,34,38,11,0,0,2,0,1,0,0
54,54,209,10,23,51,10,14,0,0,4,0,1,1,0
55,55,124,12,23,5,39,11,1,1,2,0,2,2,0
56,56,305,10,23,42,33,16,4,0,2,0,0,0,1
57,57,244,8,23,19,12,19,9,2,2,0,4,12,1
58,58,344,12,23,17,41,14,0,10,4,2,4,5,0
59,59,416,13,23,4,51,17,0,0,1,0,0,0,0
60,60,17,13,23,5,39,15,0,0,0,0,0,0,1
61,61,234,13,23,44,10,14,0,0,3,0,0,5,0
62,62,374,17,23,36,12,18,17,5,0,0,0,6,0
63,63,110,2,22,17,51,21,2,1,5,0,11,6,1
64,64,371,7,22,5,28,7,2,1,4,0,1,2,0
65,65,135,7,22,10,0,12,2,0,1,0,2,3,0
66,66,447,7,22,4,38,18,4,6,2,0,1,3,0
67,67,233,9,22,17,12,11,2,1,0,0,7,6,1
68,68,311,14,22,17,20,10,1,0,1,0,2,8,1
69,69,210,11,22,37,40,18,2,8,4,0,1,1,0
70,70,423,8,22,19,20,10,2,1,1,0,4,2,1
71,71,436,14,22,33,39,15,0,1,0,0,0,0,0
72,72,272,13,22,25,48,7,0,0,4,0,0,6,0
73,73,268,13,22,19,29,15,0,0,1,0,0,0,0
74,74,82,13,22,3,51,16,1,6,1,0,0,0,0
75,75,178,1,21,19,12,17,5,7,0,0,12,5,0
76,76,281,3,21,16,41,15,5,1,2,0,2,9,1
77,77,342,7,21,44,70,16,1,0,1,0,0,0,0
78,78,129,9,14,44,40,7,4,1,0,0,0,6,1
79,79,435,4,21,5,51,17,10,10,3,0,2,7,1
80,80,103,4,21,41,1,16,13,6,2,0,1,1,1
81,81,413,7,21,17,0,12,1,6,2,0,2,1,0
82,82,64,6,21,50,20,4,1,0,0,0,4,1,1
83,83,179,7,21,16,38,17,1,1,1,0,7,10,1
84,84,76,6,21,44,49,7,0,1,0,0,4,5,0
85,85,128,10,21,17,51,6,0,1,2,0,1,2,1
86,86,335,7,21,17,29,1,0,0,0,0,1,0,0
87,87,107,12,21,5,40,15,0,0,2,0,0,0,1
88,88,345,12,21,2,34,11,7,7,1,0,1,6,0
89,89,354,11,21,36,56,15,4,5,0,0,4,12,0
90,90,160,12,21,16,41,14,1,0,3,0,0,1,0
91,91,34,14,21,17,10,16,6,1,1,2,4,7,0
92,92,405,13,21,33,33,16,1,0,1,0,0,3,1
93,93,248,14,20,25,56,15,6,7,0,0,0,14,1
94,94,223,14,14,40,56,16,2,1,2,2,0,0,0
95,95,66,7,19,17,49,18,12,10,0,0,1,8,0
96,96,366,4,18,16,20,12,5,7,2,2,4,1,0
97,97,411,7,18,17,64,11,2,0,2,0,5,6,1
98,98,125,8,18,44,56,16,4,6,2,0,1,5,0
99,99,94,7,18,37,39,16,6,6,2,0,5,9,1
100,100,92,12,18,5,57,17,4,0,3,0,0,1,0
101,101,58,8,18,48,38,19,1,0,3,0,1,1,1
102,102,164,10,18,30,56,18,4,6,1,0,9,10,1
103,103,97,7,18,16,28,3,4,0,0,0,0,2,1
104,104,249,8,18,25,3,17,9,6,2,0,1,5,0
105,105,251,8,18,17,12,12,0,0,2,0,1,5,0
106,106,41,11,18,44,40,11,1,0,4,2,0,2,1
107,107,298,11,18,44,29,17,7,5,1,0,0,2,0
108,108,440,13,18,10,25,11,5,1,1,0,1,0,1
109,109,455,13,18,44,34,15,5,1,2,0,4,9,1
110,110,205,13,18,25,20,16,4,1,0,0,4,5,0
111,111,284,11,18,11,20,14,1,8,1,0,1,3,1
112,112,72,19,18,37,20,15,11,1,4,0,2,3,0
113,113,152,2,17,50,14,5,2,1,0,0,0,6,1
114,114,309,5,17,17,11,17,7,7,7,0,0,9,1
115,115,426,10,17,12,72,19,2,1,2,0,2,2,0
116,116,388,7,17,37,73,14,1,0,4,0,2,1,0
117,117,260,10,17,16,41,15,0,5,5,0,0,2,0
118,118,373,14,17,1,40,16,9,5,0,0,7,3,1
119,119,328,2,16,37,48,17,0,1,4,0,6,5,1
120,120,108,5,16,6,11,7,0,0,1,0,2,0,1
121,121,1,6,16,16,11,15,0,0,2,2,0,0,1
122,122,437,3,16,17,38,0,0,0,0,0,0,0,0
123,123,448,7,16,32,57,9,4,5,1,0,4,5,1
124,124,458,6,16,5,51,17,0,0,1,0,0,1,1
125,125,322,5,16,25,3,16,1,5,3,0,2,11,0
126,126,61,7,16,44,67,10,6,5,2,0,4,6,0
127,127,224,8,16,16,37,11,1,1,1,0,0,0,0
128,128,14,5,16,45,37,14,6,1,2,0,2,12,1
129,129,302,8,16,44,52,19,4,5,4,0,0,3,1
130,130,44,7,16,16,6,10,0,0,1,0,0,1,0
131,131,279,5,16,35,6,10,1,1,1,0,4,5,1
132,132,130,6,16,16,0,17,0,0,4,0,1,1,0
133,133,356,10,16,17,48,18,0,0,3,0,1,2,0
134,134,456,10,16,2,10,17,4,6,2,0,7,8,0
135,135,380,11,16,2,10,16,0,5,2,0,7,7,0
136,136,420,12,16,20,6,8,1,0,2,0,1,3,0
137,137,418,10,16,17,10,9,2,5,2,0,2,7,1
138,138,28,10,16,37,49,20,6,8,0,0,7,11,1
139,139,146,13,16,44,70,8,4,1,3,0,0,1,0
140,140,361,11,16,37,70,9,4,0,1,0,2,3,1
141,141,353,10,16,14,64,18,2,1,0,0,5,2,1
142,142,270,13,16,11,33,17,1,5,3,0,0,7,1
143,143,395,10,16,44,20,8,0,1,0,0,4,2,0
144,144,444,12,16,4,10,17,2,5,3,0,2,8,0
145,145,375,14,16,5,39,11,7,1,0,0,7,5,0
146,146,255,13,16,44,55,17,2,7,2,0,5,9,0
147,147,170,15,16,19,40,12,2,5,1,0,2,3,0
148,148,172,6,15,1,0,17,1,1,1,0,9,5,1
149,149,410,7,15,16,3,18,6,5,4,0,4,8,0
150,150,42,7,15,16,20,10,4,0,0,0,4,1,0
151,151,157,12,15,32,20,10,2,1,2,0,2,8,0
152,152,68,15,15,25,20,16,12,5,2,0,0,8,1
153,153,199,4,13,8,36,19,10,0,0,0,4,10,1
154,154,348,4,13,37,73,0,0,0,0,0,0,0,0
155,155,101,6,13,5,7,8,0,5,2,0,0,3,0
156,156,254,7,13,5,45,18,7,6,3,0,6,5,1
157,157,89,4,13,45,34,16,1,1,2,0,13,1,1
158,158,22,4,13,17,44,18,9,9,1,0,1,7,1
159,159,40,4,13,17,2,21,2,0,5,0,1,5,1
160,160,381,3,13,5,51,15,2,1,2,0,10,6,1
161,161,162,6,13,16,38,14,4,5,2,0,2,7,0
162,162,165,6,13,17,45,18,6,5,0,0,1,7,1
163,163,241,7,13,26,7,6,1,5,1,0,5,2,1
164,164,307,4,13,25,7,11,2,0,1,2,8,3,0
165,165,39,8,13,5,34,6,0,0,2,0,6,1,1
166,166,167,5,13,17,39,4,0,0,0,0,0,0,0
167,167,71,6,13,2,64,14,0,0,5,0,1,1,0
168,168,45,8,13,17,12,9,0,1,0,2,2,3,1
169,169,319,10,13,10,6,9,1,6,0,0,2,0,1
170,170,114,7,13,2,7,10,1,1,1,0,2,7,1
171,171,396,7,13,39,41,12,0,0,1,0,2,5,1
172,172,271,8,13,44,51,14,4,1,0,0,9,6,0
173,173,276,10,13,44,10,16,0,1,4,2,1,10,0
174,174,30,7,13,44,49,14,0,7,2,0,1,3,0
175,175,376,11,13,19,8,8,2,1,2,0,1,5,1
176,176,264,6,13,25,8,17,2,5,2,0,5,5,0
177,177,208,10,13,44,67,9,2,5,2,0,0,2,0
178,178,24,8,13,14,20,14,1,0,1,0,1,1,1
179,179,33,8,13,17,41,7,1,0,0,0,5,2,0
180,180,96,11,13,25,66,10,6,6,1,0,0,5,1
181,181,23,11,13,25,63,8,2,0,1,0,5,3,1
182,182,323,10,13,19,12,18,0,1,3,0,4,6,0
183,183,441,15,13,17,2,21,9,6,1,1,7,12,1
184,184,250,12,13,17,28,12,1,0,3,0,1,1,1
185,185,115,13,13,2,7,10,0,0,1,0,0,0,0
186,186,35,12,13,19,20,16,3,1,4,0,3,0,1
187,187,293,12,13,2,48,15,4,0,1,0,9,2,0
188,188,386,2,12,33,4,18,1,1,2,0,1,7,0
189,189,204,12,12,17,4,13,5,6,5,0,1,4,1
190,190,102,14,12,9,8,15,9,8,2,0,2,7,0
191,191,363,7,11,5,37,10,6,0,3,0,0,3,0
192,192,59,4,11,16,20,11,1,0,0,0,3,8,0
193,193,85,8,11,9,64,9,0,0,2,0,2,0,0
194,194,332,8,11,16,7,9,2,0,2,0,1,0,1
195,195,313,10,11,21,39,10,4,1,0,0,2,8,0
196,196,231,7,11,39,6,8,0,0,0,0,0,2,1
197,197,174,8,11,16,16,12,4,6,2,0,0,0,0
198,198,32,12,11,11,0,11,2,5,1,0,4,6,0
199,199,182,11,11,16,59,11,2,5,2,2,1,2,1
200,200,315,10,11,33,40,7,1,0,0,0,1,0,0
201,201,236,11,11,17,72,9,1,0,1,0,0,1,1
202,202,269,11,11,3,12,14,0,0,1,0,11,2,1
203,203,452,2,10,44,70,19,6,8,4,0,2,15,0
204,204,56,3,10,44,64,13,3,6,3,0,7,6,1
205,205,54,7,10,5,64,17,0,8,2,0,1,8,1
206,206,285,5,10,5,10,11,4,5,2,0,10,1,0
207,207,109,13,10,40,20,16,0,0,1,0,0,1,1
208,208,73,3,10,16,39,10,1,7,0,0,5,5,1
209,209,401,4,10,50,29,14,0,6,1,0,1,7,1
210,210,379,7,10,51,34,12,0,6,1,0,2,9,1
211,211,100,5,10,33,14,18,1,5,1,0,7,12,0
212,212,185,7,10,16,72,18,4,8,1,0,5,11,0
213,213,325,7,10,11,72,15,0,1,0,0,7,8,0
214,214,263,10,10,46,14,19,0,0,2,0,1,0,1
215,215,19,7,10,17,42,12,2,6,1,0,1,1,0
